date,state,cases,deaths
07-03-2020,District of Columbia,1,0
07-03-2020,Florida,2,0
07-03-2020,Florida,1,0
07-03-2020,Florida,2,0
07-03-2020,Florida,2,1
07-03-2020,Florida,2,0
07-03-2020,Florida,1,0
07-03-2020,Florida,1,1
07-03-2020,Florida,1,0
07-03-2020,Georgia,1,0
07-03-2020,Georgia,4,0
07-03-2020,Georgia,1,0
07-03-2020,Georgia,1,0
07-03-2020,Hawaii,1,0
07-03-2020,Illinois,6,0
07-03-2020,Indiana,1,0
07-03-2020,Kansas,1,0
07-03-2020,Kentucky,1,0
07-03-2020,Maryland,3,0
07-03-2020,Massachusetts,1,0
07-03-2020,Massachusetts,5,0
07-03-2020,Massachusetts,3,0
07-03-2020,Massachusetts,4,0
07-03-2020,Minnesota,1,0
07-03-2020,Missouri,1,0
07-03-2020,Nebraska,14,0
07-03-2020,Nevada,1,0
07-03-2020,Nevada,1,0
07-03-2020,New Hampshire,3,0
07-03-2020,New Hampshire,1,0
07-03-2020,New Jersey,3,0
07-03-2020,New Jersey,1,0
07-03-2020,New York,4,0
07-03-2020,New York,12,0
07-03-2020,New York,2,0
07-03-2020,New York,2,0
07-03-2020,New York,69,0
07-03-2020,North Carolina,1,0
07-03-2020,North Carolina,1,0
07-03-2020,Oklahoma,1,0
07-03-2020,Oregon,2,0
07-03-2020,Oregon,1,0
07-03-2020,Oregon,3,0
07-03-2020,Pennsylvania,1,0
07-03-2020,Pennsylvania,2,0
07-03-2020,Pennsylvania,1,0
07-03-2020,Rhode Island,3,0
07-03-2020,South Carolina,1,0
07-03-2020,South Carolina,1,0
07-03-2020,Tennessee,1,0
07-03-2020,Texas,11,0
07-03-2020,Texas,3,0
07-03-2020,Texas,5,0
07-03-2020,Utah,1,0
07-03-2020,Utah,1,0
07-03-2020,Utah,1,0
07-03-2020,Vermont,1,0
07-03-2020,Virginia,1,0
07-03-2020,Washington,1,0
07-03-2020,Washington,1,0
07-03-2020,Washington,1,0
07-03-2020,Washington,72,16
07-03-2020,Washington,1,0
07-03-2020,Washington,3,0
07-03-2020,Washington,26,0
07-03-2020,Washington,4,0
07-03-2020,Washington,1,0
07-03-2020,Wisconsin,1,0
08-03-2020,Arizona,2,0
08-03-2020,Arizona,3,0
08-03-2020,California,3,0
08-03-2020,California,9,0
08-03-2020,California,1,0
08-03-2020,California,1,0
08-03-2020,California,14,0
08-03-2020,California,1,0
08-03-2020,California,1,0
08-03-2020,California,1,0
08-03-2020,California,3,0
08-03-2020,California,7,1
08-03-2020,California,1,0
08-03-2020,California,3,0
08-03-2020,California,1,0
08-03-2020,California,11,0
08-03-2020,California,1,0
08-03-2020,California,37,0
08-03-2020,California,1,0
08-03-2020,California,12,0
08-03-2020,California,3,0
08-03-2020,California,1,0
08-03-2020,Colorado,2,0
08-03-2020,Colorado,3,0
08-03-2020,Colorado,1,0
08-03-2020,Colorado,1,0
08-03-2020,Colorado,1,0
08-03-2020,Connecticut,1,0
08-03-2020,District of Columbia,1,0
08-03-2020,Florida,3,0
08-03-2020,Florida,1,0
08-03-2020,Florida,2,0
08-03-2020,Florida,2,1
08-03-2020,Florida,2,0
08-03-2020,Florida,1,0
08-03-2020,Florida,1,1
08-03-2020,Florida,1,0
08-03-2020,Georgia,1,0
08-03-2020,Georgia,3,0
08-03-2020,Georgia,5,0
08-03-2020,Georgia,1,0
08-03-2020,Georgia,1,0
08-03-2020,Hawaii,2,0
08-03-2020,Illinois,7,0
08-03-2020,Indiana,1,0
08-03-2020,Indiana,1,0
08-03-2020,Iowa,3,0
08-03-2020,Kansas,1,0
08-03-2020,Kentucky,2,0
08-03-2020,Kentucky,1,0
08-03-2020,Kentucky,1,0
08-03-2020,Maryland,1,0
08-03-2020,Maryland,4,0
08-03-2020,Massachusetts,1,0
08-03-2020,Massachusetts,10,0
08-03-2020,Massachusetts,7,0
08-03-2020,Massachusetts,9,0
08-03-2020,Massachusetts,1,0
08-03-2020,Minnesota,1,0
08-03-2020,Minnesota,1,0
08-03-2020,Missouri,1,0
08-03-2020,Nebraska,16,0
08-03-2020,Nevada,2,0
08-03-2020,Nevada,2,0
08-03-2020,New Hampshire,3,0
08-03-2020,New Hampshire,1,0
08-03-2020,New Jersey,4,0
08-03-2020,New Jersey,1,0
08-03-2020,New Jersey,1,0
08-03-2020,New York,5,0
08-03-2020,New York,14,0
08-03-2020,New York,2,0
08-03-2020,New York,2,0
08-03-2020,New York,1,0
08-03-2020,New York,1,0
08-03-2020,New York,81,0
08-03-2020,North Carolina,1,0
08-03-2020,North Carolina,1,0
08-03-2020,Oklahoma,1,0
08-03-2020,Oregon,1,0
08-03-2020,Oregon,2,0
08-03-2020,Oregon,1,0
08-03-2020,Oregon,1,0
08-03-2020,Oregon,8,0
08-03-2020,Pennsylvania,1,0
08-03-2020,Pennsylvania,4,0
08-03-2020,Pennsylvania,1,0
08-03-2020,Rhode Island,3,0
08-03-2020,South Carolina,1,0
08-03-2020,South Carolina,4,0
08-03-2020,South Carolina,1,0
08-03-2020,Tennessee,1,0
08-03-2020,Tennessee,1,0
08-03-2020,Tennessee,1,0
08-03-2020,Texas,11,0
08-03-2020,Texas,6,0
08-03-2020,Texas,6,0
08-03-2020,Utah,1,0
08-03-2020,Utah,1,0
08-03-2020,Utah,1,0
08-03-2020,Vermont,1,0
08-03-2020,Virginia,2,0
08-03-2020,Washington,1,1
08-03-2020,Washington,1,0
08-03-2020,Washington,1,0
08-03-2020,Washington,91,18
08-03-2020,Washington,1,0
08-03-2020,Washington,1,0
08-03-2020,Washington,4,0
08-03-2020,Washington,36,0
08-03-2020,Washington,4,0
08-03-2020,Washington,1,0
08-03-2020,Wisconsin,1,0
09-03-2020,Arizona,2,0
09-03-2020,Arizona,1,0
09-03-2020,Arizona,3,0
09-03-2020,California,24,0
09-03-2020,California,9,0
09-03-2020,California,1,0
09-03-2020,California,1,0
09-03-2020,California,19,0
09-03-2020,California,1,0
09-03-2020,California,2,0
09-03-2020,California,1,0
09-03-2020,California,5,0
09-03-2020,California,7,1
09-03-2020,California,4,0
09-03-2020,California,9,0
09-03-2020,California,2,0
09-03-2020,California,16,0
09-03-2020,California,9,0
09-03-2020,California,43,1
09-03-2020,California,2,0
09-03-2020,California,1,0
09-03-2020,California,12,0
09-03-2020,California,3,0
09-03-2020,California,1,0
09-03-2020,Colorado,1,0
09-03-2020,Colorado,3,0
